dt,fplatformname,fuid,predict
2018-07-02,云南,16964843,0.0
2018-07-02,云南,5682143,0.0
2018-07-02,云南,4621594,1.0
2018-07-02,云南,19515355,0.0
2018-07-02,云南,20984083,0.0
2018-07-02,云南,7286559,0.0
2018-07-02,云南,18183411,0.0
2018-07-02,云南,4387378,0.0
2018-07-02,云南,10686295,0.0
2018-07-02,云南,20709484,0.0
2018-07-02,云南,20651401,0.0
2018-07-02,云南,7855118,0.0
2018-07-02,云南,20738860,0.0
2018-07-02,云南,18549637,0.0
2018-07-02,云南,7534350,0.0
2018-07-02,云南,10744275,0.0
2018-07-02,云南,5931051,0.0
2018-07-02,云南,18963634,0.0
2018-07-02,云南,21066181,0.0
2018-07-02,云南,21035857,0.0
2018-07-02,云南,20222006,0.0
2018-07-02,云南,12630000,0.0
2018-07-02,云南,10992392,0.0
2018-07-02,云南,17881458,0.0
2018-07-02,云南,20614712,0.0
2018-07-02,云南,12142416,0.0
2018-07-02,云南,4565154,0.0
2018-07-02,云南,20694924,1.0
2018-07-02,云南,15648207,0.0
2018-07-02,云南,18095263,0.0
2018-07-02,云南,19366804,0.0
2018-07-02,云南,10691721,0.0
2018-07-02,云南,21090267,0.0
2018-07-02,云南,7299640,0.0
2018-07-02,云南,10467047,0.0
2018-07-02,云南,21130348,0.0
2018-07-02,云南,19708951,0.0
2018-07-02,云南,20867798,0.0
2018-07-02,云南,19850618,0.0
2018-07-02,云南,18985947,0.0
2018-07-02,云南,19787737,0.0
2018-07-02,云南,21103496,0.0
2018-07-02,云南,16510571,0.0
2018-07-02,云南,21039854,0.0
2018-07-02,云南,21108505,1.0
2018-07-02,云南,20759119,0.0
2018-07-02,云南,4212423,1.0
2018-07-02,云南,21103541,0.0
2018-07-02,云南,17066342,0.0
2018-07-02,云南,19390478,0.0
2018-07-02,云南,21039910,0.0
2018-07-02,云南,20027413,0.0
2018-07-02,云南,18136804,0.0
2018-07-02,云南,19882197,0.0
2018-07-02,云南,8320275,0.0
2018-07-02,云南,8182023,0.0
2018-07-02,云南,19814699,0.0
2018-07-02,云南,20303370,1.0
2018-07-02,云南,11617132,0.0
2018-07-02,云南,20313432,0.0
2018-07-02,云南,20836838,0.0
2018-07-02,云南,11261565,0.0
2018-07-02,云南,17429585,0.0
2018-07-02,云南,17591415,0.0
2018-07-02,云南,10507150,0.0
2018-07-02,云南,20072988,0.0
2018-07-02,云南,10671180,0.0
2018-07-02,云南,19853233,0.0
2018-07-02,云南,18717543,0.0
2018-07-02,云南,19582200,0.0
2018-07-02,云南,15904637,0.0
2018-07-02,云南,6478368,0.0
2018-07-02,云南,21132851,1.0
2018-07-02,云南,20162498,0.0
2018-07-02,云南,13412201,0.0
2018-07-02,云南,5373880,0.0
2018-07-02,云南,16404505,0.0
2018-07-02,云南,6613043,0.0
2018-07-02,云南,21030572,0.0
2018-07-02,云南,17970428,0.0
2018-07-02,云南,7870471,0.0
2018-07-02,云南,20004619,0.0
2018-07-02,云南,19954977,0.0
2018-07-02,云南,6167265,0.0
2018-07-02,云南,8336468,0.0
2018-07-02,云南,20753532,0.0
2018-07-02,云南,8236685,0.0
2018-07-02,云南,10129210,0.0
2018-07-02,云南,8816521,1.0
2018-07-02,云南,19740128,0.0
2018-07-02,云南,20991713,1.0
2018-07-02,云南,18198907,1.0
2018-07-02,云南,8848481,0.0
2018-07-02,云南,20067264,0.0
2018-07-02,云南,4733887,0.0
2018-07-02,云南,19916139,0.0
2018-07-02,云南,15606381,0.0
2018-07-02,云南,17863875,0.0
2018-07-02,云南,19314745,0.0
2018-07-02,云南,8562222,0.0
2018-07-02,云南,19859185,0.0
2018-07-02,云南,7806963,1.0
2018-07-02,云南,17162424,0.0
2018-07-02,云南,8565970,0.0
2018-07-02,云南,20233220,0.0
2018-07-02,云南,17215964,0.0
2018-07-02,云南,19652013,0.0
2018-07-02,云南,4394553,1.0
2018-07-02,云南,21126679,1.0
2018-07-02,云南,7607808,0.0
2018-07-02,云南,21010003,0.0
2018-07-02,云南,20001495,0.0
2018-07-02,云南,11093578,0.0
2018-07-02,云南,12554240,0.0
2018-07-02,云南,10057260,0.0
2018-07-02,云南,17788471,1.0
2018-07-02,云南,17401935,0.0
2018-07-02,云南,19208092,1.0
2018-07-02,云南,20962661,0.0
2018-07-02,云南,11678584,0.0
2018-07-02,云南,6642621,1.0
2018-07-02,云南,20507011,0.0
2018-07-02,云南,21139229,1.0
2018-07-02,云南,14704327,1.0
2018-07-02,云南,7054549,0.0
2018-07-02,云南,18940427,0.0
2018-07-02,云南,6785236,0.0
2018-07-02,云南,19783011,0.0
2018-07-02,云南,19969309,1.0
2018-07-02,云南,5470516,0.0
2018-07-02,云南,6809761,0.0
2018-07-02,云南,20603263,0.0
2018-07-02,云南,19584962,0.0
2018-07-02,云南,20442571,0.0
2018-07-02,云南,6061551,0.0
2018-07-02,云南,11923952,0.0
2018-07-02,云南,16635484,0.0
