产品名称,产品类型,是否有竞品
 赤峰对调（两副扑克）,扑克类,是
三人麻将,麻将类,有
三扣一,扑克类,
麻将类:济源麻将--扑克类:红星五--金流类:斗牛--扑克类:斗地主--:--:--:,,有
威海保皇,扑克类,是
铜梁三丁拐,麻将类,有
吉林麻将,麻将类,有
推倒胡麻将,麻将类,有
临沧麻将,麻将类,有
捉红枪,扑克类,
泰州麻将,麻将类,有
7鬼523,扑克类,有
大理麻将,麻将类,有
赤峰对户（两副扑克）,扑克类,是
倒倒胡,麻将类,有
乌海双撇子,扑克类,是
麻将类:信阳满堂跑--麻将类:信阳麻将--扑克类:信阳黑七--扑克类:斗地主--金流类:斗牛--:-,,
慢十,扑克类,无
莆田麻将,麻将类,有
揪面片,扑克类,（淘宝客服获得）
棋类:象棋，围棋，五子棋----麻将类:红中癞子杠，换换----扑克类:花牌，斗地主----字牌类:,,
五子棋,其他,
鸡宝夹,麻将类,无
麻将类:开封麻将--扑克类:斗地主--扑克类:双升--金流类:斗牛--:--:--:,,
棋类:象棋，围棋，五子棋----麻将类:血流成河，翻筒子，换三张----扑克类:宜昌炸金花----字,,
锄大地,扑克类,是
珲春麻将,麻将类,有
丰县14张,扑克类,有
厦门麻将,麻将类,有
徐州麻将,麻将类,有
麻将类:万宁麻将----扑克类:炸金花----:,,有
徐州憋十,扑克类,
锦州双劈,扑克类,是
钓红点,其他,否
铜陵80分,扑克类,是
双扣,扑克类,有
嘉陵麻将,麻将类,无
扑克类:斗牛----:----:,,无
花花牌,字牌类,
打娘娘,扑克类,
黄岩麻将,麻将类,有
对缝,金流类,无
十三张,麻将类,是
宁德麻将,麻将类,有
麻将类:安阳麻将--扑克类:南阳斗地主--金流类:斗牛--:--:--:--:,,
大厅,其他,有
内蒙古象棋,棋类,朋友介绍获取
翻三皮,扑克类,有
盘锦窜火箭,扑克类,是
三明标分,扑克类,有
顶牛子（牌九）,其他,iOS没有
水富麻将,麻将类,有
捉娘娘（类大跃进）,扑克类,
仁和攀麻,麻将类,无
夹江麻将,麻将类,无
打升级,扑克类,是
丽江卡心五,麻将类,有
任丘麻将,麻将类,有
黔东南麻将,麻将类,没有
九台麻将,麻将类,有
五八王三二一,扑克类,
东区攀麻,麻将类,无
捉鸟麻将,麻将类,有
棋类:象棋，围棋，五子棋----麻将类:飘癞子----扑克类:跑胡子，千分----字牌类:无----,,
天津打六家,扑克类,是
碰胡子,字牌类,有
舟山麻将,麻将类,有
东北刨幺,扑克类,是
广汉麻将,麻将类,
潍坊麻将,麻将类,是
菏泽麻将,麻将类,是
红河麻将,麻将类,有
益阳麻将,麻将类,有
憋七,扑克类,
宁夏方棋,棋类,没有
天王,其他,是
刮大风,扑克类,是
临安麻将,麻将类,有
廊坊麻将,麻将类,有
砸红A,扑克类,是
尖子顶,扑克类,有
枞阳斗地主,扑克类,是
雨城麻将,麻将类,无
陕西麻将,麻将类,闲来
毙十,扑克类,是
市中乐山麻将,麻将类,有
九江麻将,麻将类,是
升级,扑克类,是
玉米子,金流类,无
蒲江麻将,麻将类,无
挖坑,扑克类,有
44必,扑克类,无
杠后花,麻将类,有
扑克类:吊主----:----:,,无
十点半,金流类,有
宾川麻将,麻将类,有
黔西南麻将,麻将类,没有
邳州麻将，邳州斗地主,麻将类,有
放羊,扑克类,无
一口香,麻将类,有
贵港麻将,麻将类,有
椒江麻将,麻将类,有
天津混吊麻将,麻将类,是
麻将类:焦作麻将--扑克类:斗地主--金流类:斗牛--:--:--:--:,,有
掼蛋、转枪,扑克类,是
五八王三二一,扑克类,没有
黑河麻将,麻将类,是
毕节麻将,麻将类,有
塘沽毛二,扑克类,是
河西麻将,麻将类,（朋友获得
苍溪麻将,麻将类,无
天津百分,扑克类,是
麻将类:鹰城麻将--扑克类:斗地主--扑克类:双升--扑克类:灭三家--棋类:五子棋--棋类:象棋-,,无
米易攀麻,麻将类,无
汕尾麻将,麻将类,是
抚顺要A,扑克类,是
捉黑A,扑克类,无
丹东麻将,麻将类,是
威远麻将,麻将类,无
辽源麻将,麻将类,有
大庆麻将,麻将类,是
昌邑够级,扑克类,否
麻将类:商丘麻将--扑克类:斗地主--金流类:斗牛--:--:--:--:,,
麻将类:河南麻将--扑克类:斗地主--金流类:斗牛--:--:--:--:,,
楚雄麻将,麻将类,有
飞行棋,棋类,有
憋7,扑克类,是
蓟县麻将,麻将类,（朋友获得
天津麻将,麻将类,是
牛鬼,扑克类,有
宿松麻将,麻将类,是
窜火箭,扑克类,是
马边麻将,麻将类,无
桐乡麻将,麻将类,有
扎股子,扑克类,同城游
宁城打弹子,扑克类,是
拐三角,麻将类,
打大A,扑克类,
黔江双扣,扑克类,有
攀麻,麻将类,有
贵阳捉鸡麻将,麻将类,有
穿火箭,扑克类,无
十三水,扑克类,有
斗牛,金流类,无
泰州卡子，2000分，,其他,有
平昌麻将,麻将类,无
青海麻将（258、癞子、血流）,麻将类,是
蓬溪麻将,麻将类,无
铜陵麻将,麻将类,是
启东麻将，启东老韭菜，启东找朋友,其他,有
两副头,扑克类,有
麻将类:焦作麻将--扑克类:斗地主--金流类:斗牛--:--:--:--:,,
辛集麻将,麻将类,有
金坛四副牌,扑克类,有
德州,扑克类,是
泸州大贰,其他,有
三十秒,金流类,有
斗牛,金流类,有
珙县麻将,麻将类,无
雁江麻将,麻将类,无
金口河麻将,麻将类,无
沈阳四冲,扑克类,是
打骰,其他,有
尤溪打炸弹,扑克类,有
跑牌,扑克类,无
搂宝麻将,麻将类,
义乌麻将,麻将类,有
绵竹麻将,麻将类,
吹牛皮,扑克类,有
宁波斗地主,扑克类,有
宝鸡麻将,麻将类,
齐齐哈尔麻将,麻将类,有
麻将类:中牟麻将--扑克类:斗地主--金流类:斗牛--扑克类:扒鸡窝--:--:--:,,有
打对家,扑克类,是
盐城麻将，炒地皮,其他,有
填大坑,金流类,无
沐川麻将,麻将类,无
鞍山放羊,扑克类,是
掀牛/掀牛九,其他,无
安居麻将,麻将类,无
上谷麻将,麻将类,有
